event_id,user_id,event_type,created_at
1,1,signed_up,2024-11-23
2,1,shared_design,2024-12-04
3,1,invited_team_member,2024-12-06
4,2,signed_up,2024-05-20
5,3,signed_up,2024-03-12
6,3,exported_design,2024-12-25
7,3,deleted_design,2024-12-27
8,3,shared_design,2024-12-13
9,4,signed_up,2024-12-12
10,4,upgraded_plan,2024-12-23
11,5,signed_up,2024-02-14
12,5,created_design,2024-06-11
13,5,deleted_design,2024-08-06
14,5,created_design,2024-07-30
15,5,deleted_design,2024-07-02
16,5,exported_design,2024-10-22
17,5,deleted_design,2024-08-14
18,5,exported_design,2024-09-22
19,6,signed_up,2024-01-17
20,6,exported_design,2024-06-16
21,6,created_design,2024-02-23
22,6,exported_design,2024-06-02
23,6,exported_design,2024-07-29
24,6,shared_design,2024-08-03
25,6,created_design,2024-07-19
26,6,created_design,2024-03-03
27,6,deleted_design,2024-06-22
28,6,shared_design,2024-07-19
29,6,exported_design,2024-03-09
30,6,invited_team_member,2024-08-24
31,7,signed_up,2024-04-21
32,7,created_design,2024-05-17
33,7,shared_design,2024-05-13
34,7,created_design,2024-09-09
35,7,shared_design,2024-09-20
36,7,deleted_design,2024-11-28
37,7,shared_design,2024-04-24
38,7,deleted_design,2024-08-04
39,8,signed_up,2024-11-04
40,8,exported_design,2024-12-10
41,8,deleted_design,2024-12-17
42,8,exported_design,2024-11-14
43,8,shared_design,2024-11-21
44,8,invited_team_member,2024-11-13
45,8,upgraded_plan,2024-12-01
46,9,signed_up,2024-04-11
47,9,created_design,2024-12-14
48,9,shared_design,2024-10-12
49,9,deleted_design,2024-08-15
50,9,deleted_design,2024-07-20
51,9,exported_design,2024-06-04
52,10,signed_up,2024-08-02
53,10,shared_design,2024-11-07
54,10,shared_design,2024-11-22
55,10,exported_design,2024-11-20
56,10,shared_design,2024-10-17
57,10,deleted_design,2024-09-22
58,10,exported_design,2024-10-21
59,10,shared_design,2024-11-11
60,10,deleted_design,2024-10-15
61,10,exported_design,2024-12-27
62,10,deleted_design,2024-10-24
63,10,invited_team_member,2024-11-10
64,11,signed_up,2024-10-28
65,11,invited_team_member,2024-11-20
66,12,signed_up,2024-03-22
67,12,exported_design,2024-11-13
68,12,shared_design,2024-11-01
69,12,deleted_design,2024-04-26
70,12,exported_design,2024-12-02
71,12,exported_design,2024-08-24
72,12,exported_design,2024-07-29
73,12,deleted_design,2024-10-24
74,12,deleted_design,2024-04-28
75,12,deleted_design,2024-11-22
76,12,deleted_design,2024-12-20
77,12,created_design,2024-12-25
78,12,created_design,2024-09-22
79,12,invited_team_member,2024-07-27
80,13,signed_up,2024-06-23
81,13,created_design,2024-11-26
82,13,deleted_design,2024-11-14
83,13,deleted_design,2024-09-15
84,13,created_design,2024-07-20
85,13,shared_design,2024-07-18
86,13,exported_design,2024-08-18
87,13,shared_design,2024-10-15
88,13,deleted_design,2024-10-01
89,13,exported_design,2024-12-13
90,13,created_design,2024-09-19
91,13,created_design,2024-10-24
92,13,invited_team_member,2024-07-14
93,14,signed_up,2024-04-20
94,14,invited_team_member,2024-09-26
95,15,signed_up,2024-02-17
96,16,signed_up,2024-07-02
97,16,deleted_design,2024-12-27
98,16,created_design,2024-09-21
99,16,created_design,2024-09-16
100,16,created_design,2024-12-30
101,16,shared_design,2024-07-07
102,16,created_design,2024-12-14
103,16,exported_design,2024-12-22
104,16,exported_design,2024-09-02
105,16,exported_design,2024-11-20
106,16,deleted_design,2024-09-24
107,16,exported_design,2024-10-28
108,16,exported_design,2024-10-13
109,16,invited_team_member,2024-12-17
110,17,signed_up,2024-05-15
111,17,exported_design,2024-12-27
112,17,deleted_design,2024-09-07
113,17,created_design,2024-08-22
114,17,exported_design,2024-11-11
115,17,shared_design,2024-07-06
116,17,created_design,2024-11-23
117,17,created_design,2024-10-09
118,17,exported_design,2024-12-05
119,17,shared_design,2024-08-16
120,17,deleted_design,2024-07-04
121,17,invited_team_member,2024-11-02
122,18,signed_up,2024-10-01
123,18,deleted_design,2024-11-10
124,18,deleted_design,2024-12-18
125,18,created_design,2024-12-15
126,18,shared_design,2024-11-14
127,18,exported_design,2024-11-28
128,18,shared_design,2024-12-26
129,18,created_design,2024-12-18
130,18,exported_design,2024-12-26
131,18,created_design,2024-11-10
132,18,shared_design,2024-10-31
133,18,exported_design,2024-10-15
134,19,signed_up,2024-02-10
135,19,deleted_design,2024-04-20
136,19,exported_design,2024-09-13
137,19,exported_design,2024-10-16
138,19,exported_design,2024-11-20
139,19,shared_design,2024-10-17
140,19,exported_design,2024-04-21
141,19,deleted_design,2024-07-20
142,19,created_design,2024-12-23
143,19,created_design,2024-08-11
144,19,exported_design,2024-10-15
145,19,invited_team_member,2024-08-24
146,20,signed_up,2024-11-17
147,20,deleted_design,2024-12-13
148,20,deleted_design,2024-12-13
149,20,exported_design,2024-12-18
150,20,created_design,2024-11-22
151,20,shared_design,2024-12-01
152,20,shared_design,2024-11-19
153,20,shared_design,2024-12-01
154,20,deleted_design,2024-11-27
155,21,signed_up,2024-10-22
156,21,created_design,2024-11-05
157,21,shared_design,2024-11-25
158,21,created_design,2024-12-30
159,21,exported_design,2024-12-17
160,21,created_design,2024-12-15
161,21,shared_design,2024-11-22
162,21,deleted_design,2024-10-26
163,21,shared_design,2024-11-24
164,21,deleted_design,2024-11-02
165,22,signed_up,2024-01-24
166,22,invited_team_member,2024-11-20
167,23,signed_up,2024-05-28
168,24,signed_up,2024-02-21
169,24,exported_design,2024-06-05
170,24,shared_design,2024-03-22
171,24,shared_design,2024-11-19
172,24,exported_design,2024-12-22
173,24,shared_design,2024-08-04
174,24,shared_design,2024-07-18
175,24,created_design,2024-11-10
176,24,deleted_design,2024-04-30
177,24,shared_design,2024-03-22
178,24,exported_design,2024-04-25
179,24,exported_design,2024-06-27
180,24,exported_design,2024-08-03
181,24,deleted_design,2024-09-09
182,24,invited_team_member,2024-07-07
183,25,signed_up,2024-08-20
184,25,deleted_design,2024-09-12
185,25,shared_design,2024-12-29
186,26,signed_up,2024-03-24
187,26,created_design,2024-09-07
188,26,deleted_design,2024-05-10
189,26,created_design,2024-09-23
190,26,deleted_design,2024-12-22
191,26,deleted_design,2024-07-13
192,26,deleted_design,2024-07-10
193,26,shared_design,2024-08-08
194,26,shared_design,2024-08-16
195,27,signed_up,2024-04-17
196,28,signed_up,2024-12-25
197,28,invited_team_member,2024-12-30
198,29,signed_up,2024-11-07
199,29,exported_design,2024-12-31
200,29,deleted_design,2024-12-05
201,29,invited_team_member,2024-12-04
202,30,signed_up,2024-09-30
203,30,shared_design,2024-12-22
204,30,shared_design,2024-10-20
205,30,shared_design,2024-10-11
206,30,invited_team_member,2024-11-16
207,31,signed_up,2024-03-24
208,31,shared_design,2024-10-12
209,32,signed_up,2024-05-18
210,32,created_design,2024-11-14
211,32,exported_design,2024-05-18
212,33,signed_up,2024-04-22
213,33,created_design,2024-08-13
214,33,shared_design,2024-04-24
215,33,created_design,2024-11-17
216,33,deleted_design,2024-12-30
217,33,exported_design,2024-10-16
218,33,created_design,2024-08-22
219,33,deleted_design,2024-06-19
220,33,created_design,2024-05-14
221,33,shared_design,2024-05-18
222,33,shared_design,2024-07-25
223,33,deleted_design,2024-05-27
224,34,signed_up,2024-01-29
225,34,created_design,2024-04-11
226,34,created_design,2024-10-26
227,34,exported_design,2024-12-06
228,34,shared_design,2024-09-10
229,34,exported_design,2024-05-17
230,34,deleted_design,2024-08-26
231,34,created_design,2024-05-19
232,34,exported_design,2024-03-20
233,34,deleted_design,2024-04-01
234,34,deleted_design,2024-07-26
235,34,exported_design,2024-07-08
236,34,invited_team_member,2024-12-24
237,34,upgraded_plan,2024-11-07
238,35,signed_up,2024-06-10
239,35,shared_design,2024-11-12
240,35,created_design,2024-12-26
241,35,shared_design,2024-11-25
242,35,exported_design,2024-08-01
243,35,deleted_design,2024-12-18
244,35,created_design,2024-08-24
245,35,exported_design,2024-12-27
246,35,deleted_design,2024-10-14
247,35,exported_design,2024-07-08
248,35,created_design,2024-10-15
249,35,created_design,2024-10-23
250,35,shared_design,2024-09-10
251,35,invited_team_member,2024-11-02
252,36,signed_up,2024-02-03
253,36,created_design,2024-10-01
254,36,created_design,2024-02-11
255,36,shared_design,2024-02-10
256,36,invited_team_member,2024-03-04
257,37,signed_up,2024-06-10
258,37,deleted_design,2024-11-17
259,37,deleted_design,2024-09-26
260,37,exported_design,2024-07-01
261,37,created_design,2024-08-20
262,37,created_design,2024-08-28
263,38,signed_up,2024-07-21
264,39,signed_up,2024-03-14
265,39,shared_design,2024-04-16
266,39,exported_design,2024-10-23
267,39,exported_design,2024-04-12
268,39,deleted_design,2024-04-27
269,39,deleted_design,2024-05-12
270,39,shared_design,2024-04-11
271,39,created_design,2024-06-11
272,39,exported_design,2024-03-20
273,39,exported_design,2024-03-19
274,39,shared_design,2024-11-23
275,39,shared_design,2024-12-06
276,39,shared_design,2024-06-07
